"feature_id","name","type"
"277562","MOR248-21","alias"
"258775","MOR183-1","alias"
"108168638","LOC108168638","alias"
"15968","Ifa5","alias"
"100039150","Gm2068","alias"
"100039150","Mup13","alias"
"667129","EG667129","alias"
"667129","Gm8474","alias"
"545909","EG545909","alias"
"100862118","Gm21492","alias"
"17137","Mage-a1","alias"
"380845","Gm1135","alias"
"56552","V2R1","alias"
"56552","V2r1b","alias"
"382277","Xmr","alias"
"100503386","EG245190","alias"
"100503386","Gm4980","alias"
"666085","EG666085","alias"
"666085","Gm1496","alias"
"666085","Gm470","alias"
"258722","MOR15-1","alias"
"258722","MOR15-4","alias"
"258023","MOR245-15","alias"
"258909","MOR248-16","alias"
"258909","MOR248-2","alias"
"258909","Olfr1557","alias"
"100504474","2010003K15Rik","alias"
"259159","MOR22-1","alias"
"259159","MOR22-4P","alias"
"259159","Olfr1526-ps1","alias"
"666040","EG666040","alias"
"545947","Abpbg19","alias"
"545947","Gm5894","alias"
"64113","AA987038","alias"
"64113","Map-1","alias"
"64113","Pnma4","alias"
"101056159","LOC101056159","alias"
"13184","BC005655","alias"
"13184","C86550","alias"
"13184","Dcpp","alias"
"13184","Dcpp-1","alias"
"13184","p20","alias"
"215859","Gm230","alias"
"215859","taR-8a","alias"
"257885","MOR162-12","alias"
"100043536","Gm10671","alias"
"102902673","Rbm14-rbm4","alias"
"258475","MOR162-2","alias"
"100043300","Gm4345","alias"
"102637808","LOC102637808","alias"
"258231","GA_x5J8B7W6KF8-5605544-5605301","alias"
"258231","MOR202-38","alias"
"258231","MOR202-47_p","alias"
"623459","EG623459","alias"
"623459","Gm6432","alias"
"630537","Dcpp-2","alias"
"630537","EG630537","alias"
"630537","SPT-2","alias"
"258123","MOR202-26P","alias"
"258123","MOR202-42","alias"
"108168658","LOC108168658","alias"
"21648","AGS2","alias"
"21648","Dynlt1","alias"
"21648","Tctex-1","alias"
"21648","Tctex1","alias"
"258485","MOR247-2","alias"
"258232","MOR111-11","alias"
"258232","MOR111-2","alias"
"16875","L3","alias"
"16875","Lhx7","alias"
"14958","D130017D06Rik","alias"
"14958","H1(0)","alias"
"14958","H1fv","alias"
"69709","2410017P09Rik","alias"
"97487","Cklfsf4","alias"
"97487","D19397","alias"
"97487","Gm9853","alias"
"258415","C77344","alias"
"258415","MOR162-5","alias"
"16514","Kir6.2","alias"
"16514","mBIR","alias"
"27973","D7Wsu86e","alias"
"627872","Dnahc7","alias"
"627872","Dnahc7a","alias"
"627872","Gm992","alias"
"100043332","AU041848","alias"
"100043332","D730048J04Rik","alias"
"100043332","Gm4368","alias"
"666203","EG666203","alias"
"100042929","Gm14477","alias"
"100043088","Gm4220","alias"
"278087","EG278087","alias"
"278087","Gm5071","alias"
"258489","MOR204-19","alias"
"64009","8B","alias"
"64009","A330049M09Rik","alias"
"64009","BE692247","alias"
"64009","C130039F11Rik","alias"
"64009","CPG2","alias"
"64009","KASH1","alias"
"64009","Myne1","alias"
"64009","mKIAA1756","alias"
"64009","myne-1","alias"
"20664","BB176347","alias"
"20664","Sox-1","alias"
"242517","Gm12597","alias"
"242517","Ifnaa","alias"
"242517","MuIFN-alpha-A","alias"
"320332","B130044J01Rik","alias"
"637908","EG637908","alias"
"637908","Gm471","alias"
"70045","AW494830","alias"
"22759","NGD16-4","alias"
"24112","V1r5","alias"
"24112","V1rb2","alias"
"24112","VRi2","alias"
"245269","E130304F04Rik","alias"
"245269","Nim1","alias"
"258994","MOR182-3","alias"
"632534","V1rh15","alias"
"258418","MOR204-21","alias"
"258605","MOR171-15","alias"
"257996","MOR162-11P","alias"
"257996","MOR162-13","alias"
"257996","MOR162-9P","alias"
"257996","Olfr1550-ps1","alias"
"100039377","Xmr-like","alias"
"100126775","Gm21946","alias"
"631101","Gm7055","alias"
"631101","Sprrl6","alias"
"628946","Gm6935","alias"
"258165","MOR171-28","alias"
"100042976","Vmn1r106","alias"
"257662","MOR248-9","alias"
"435949","EG435949","alias"
"435949","Vmn1r99","alias"
"108168545","LOC108168545","alias"
"69034","1810010E01Rik","alias"
"69034","4930579G22Rik","alias"
"69034","Nupr2","alias"
"108169010","LOC108169010","alias"
"258233","GA_x5J8B7TYL6J-3-280","alias"
"258233","GA_x5J8B7U07Q4-325-757","alias"
"258233","GA_x6K02T2PMLR-6197851-6198786","alias"
"258233","MOR106-10","alias"
"258233","MOR106-15","alias"
"667199","EG667199","alias"
"667199","Gm8509","alias"
"100042964","Vmn1r98","alias"
"76229","6430701C03Rik","alias"
"381059","Gm1604","alias"
"668960","Gm14351","alias"
"171195","V1rc22","alias"
"171195","V1rc9","alias"
"258515","MOR147-3","alias"
"620672","EG620672","alias"
"100042943","Gm14482","alias"
"108168468","LOC108168468","alias"
"258680","MOR214-4","alias"
"258680","Olfr1433","alias"
"258680","Olfr1433-ps1","alias"
"100862274","Gm21608","alias"
"622222","EG622222","alias"
"622222","Gm6299","alias"
"171260","V1RE8","alias"
"171260","V1rj2","alias"
"100126776","Gm21947","alias"
"73385","1700047I17Rik","alias"
"73385","1700047I17Rik1","alias"
"73385","C14orf24","alias"
"73385","D730001C10Rik","alias"
"73385","Fam177a1","alias"
"102640500","LOC102640500","alias"
"100040698","Gm2913","alias"
"257935","MOR248-15","alias"
"102638913","LOC102638913","alias"
"435206","taR-7d","alias"
"81011","V1rd14","alias"
"81011","V3R8","alias"
"100126777","Gm20580","alias"
"100041774","100038846","alias"
"100041774","1700001E04Rik","alias"
"100041774","Gm1973","alias"
"258416","MOR162-4","alias"
"621852","Rhox3.6","alias"
"621852","Rhox3e","alias"
"105518","AI461879","alias"
"546913","EG546913","alias"
"404339","MOR202-44","alias"
"404321","MOR111-12","alias"
"625591","EG625591","alias"
"625591","Gm6604","alias"
"67464","1200014F22Rik","alias"
"67464","4930513O14Rik","alias"
"67464","A430102M06Rik","alias"
"67464","AI414893","alias"
"67464","Lysal1","alias"
"67464","mKIAA0392","alias"
"258519","MOR146-3","alias"
"668225","EG668225","alias"
"212276","KRAB-O","alias"
"212276","Rslcan20/21","alias"
"212276","Zfp208","alias"
"212276","mszf54","alias"
"252905","V1rg1","alias"
"547160","Gm14484","alias"
"622645","EG622645","alias"
"622645","Gm6338","alias"
"258068","MOR110-7","alias"
"258606","MOR171-14","alias"
"258606","Olfr229-ps1","alias"
"258606","Olfr973","alias"
"258606","Olfr973-ps1","alias"
"667504","EG667504","alias"
"667504","Gm8673","alias"
"258470","MOR256-20","alias"
"258470","bM573K1.3","alias"
"74484","4933434H11Rik","alias"
"100043645","EG381936","alias"
"100043645","Gm5156","alias"
"100043667","Gm4579","alias"
"665780","EG665780","alias"
"258740","MOR171-12","alias"
"667215","EG667215","alias"
"667215","Gm8519","alias"
"100041735","100041747","alias"
"100041735","Gm3494","alias"
"673977","100043561","alias"
"673977","Gm4519","alias"
"673977","Gm9609","alias"
"673977","Vmn1r110","alias"
"108168637","LOC108168637","alias"
"258733","MOR204-9","alias"
"434676","Abpa19","alias"
"434676","EG434676","alias"
"434676","Gm5632","alias"
"100040458","Gm2784","alias"
"258259","MOR259-4P","alias"
"258259","MOR259-9","alias"
"258259","Olfr1524-ps1","alias"
"258771","MOR204-4","alias"
"667067","EG667067","alias"
"667067","Gm8442","alias"
"100303732","Gm14431","alias"
"435940","EG435940","alias"
"435940","Vmn1r136","alias"
"258685","MOR202-16","alias"
"258461","MOR256-26","alias"
"18617","AA409564","alias"
"18617","Pem","alias"
"209517","Gm698","alias"
"209517","taR-7b","alias"
"257979","MOR248-14P","alias"
"257979","MOR248-18","alias"
"668200","EG668200","alias"
"668200","Esp16","alias"
"668200","Gm9041","alias"
"545654","limitin","alias"
"240514","AI842788","alias"
"240514","BB115872","alias"
"259025","MOR135-3","alias"
"667543","100042980","alias"
"667543","EG667543","alias"
"667543","Gm4144","alias"
"667543","Vmn1r108","alias"
"667543","Vmn1r156","alias"
"257985","MOR110-8","alias"
"68009","2010016F14Rik","alias"
"68009","Defcr20","alias"
"667404","EG667404","alias"
"667404","Gm8611","alias"
"381994","Gm1697","alias"
"432825","EG432825","alias"
"100042182","EG666355","alias"
"667472","EG667472","alias"
"667472","Vmn1r144","alias"
"258323","MOR171-44","alias"
"100861640","Gm21098","alias"
"19653","4921506I22Rik","alias"
"19653","Lark1","alias"
"19653","Mlark","alias"
"19653","Rbm4a","alias"
"19653","lark","alias"
"620758","Gm6178","alias"
"628185","EG628185","alias"
"628185","V2rp1","alias"
"102637615","LOC102637615","alias"
"268595","AI852661","alias"
"627576","EG627576","alias"
"621510","EG621510","alias"
"621510","Gm6237","alias"
"258480","MOR256-19","alias"
"630022","Gm14345","alias"
"72465","2610109I01Rik","alias"
"72465","AW558871","alias"
"72465","Znf131","alias"
"278167","EG278167","alias"
"258890","MOR248-4","alias"
"258629","MOR202-18","alias"
"436002","MOR22-4","alias"
"436002","Olfr243-ps1","alias"
"436002","Olfr627","alias"
"436002","Olfr627-ps1","alias"
"100039280","Gm2135","alias"
"258801","MOR165-5","alias"
"78092","Gm15144","alias"
"100039054","Gm2024","alias"
"258802","K18","alias"
"258802","MOR170-6","alias"
"100042971","Vmn1r102","alias"
"258695","MOR202-6","alias"
"667512","EG667512","alias"
"667512","Vmn1r153","alias"
"257956","MOR245-19P","alias"
"258328","MOR171-42","alias"
"258328","MOR171-53","alias"
"100312475","Gm17331","alias"
"258929","MOR114-2","alias"
"408196","EG408196","alias"
"408196","Stfna1l1","alias"
"100040533","GMCL1P1","alias"
"100040533","Gclh","alias"
"100040533","Gm2825","alias"
"100040533","Gmcl1l","alias"
"68195","0610007O07Rik","alias"
"68195","4833423A10Rik","alias"
"68195","4930532K22Rik","alias"
"68195","C79750","alias"
"68195","RNASE6PL","alias"
"68195","Rnaset2","alias"
"258688","MOR202-13","alias"
"100040894","EG666120","alias"
"258780","MOR168-1","alias"
"100043067","EG667554","alias"
"100043067","Gm16455","alias"
"18829","6CKBAC2","alias"
"18829","6Ckine","alias"
"18829","ALP","alias"
"18829","AW987545","alias"
"18829","CKb9","alias"
"18829","SCYA21a","alias"
"18829","SLC","alias"
"18829","Scya21","alias"
"18829","Scya21b","alias"
"18829","Tca4","alias"
"18829","plt","alias"
"667240","EG667240","alias"
"667240","Gm8533","alias"
"259163","EG257869","alias"
"259163","GA_x5J8B7TPDN2-1058-1265","alias"
"259163","GA_x6K02T03FR9-4826-3919","alias"
"259163","MOR139-5","alias"
"259163","MOR139-7","alias"
"259163","MOR185-8","alias"
"259163","Olfr1354-ps1","alias"
"259163","Olfr233-ps1","alias"
"545874","EG545874","alias"
"258649","MOR261-3","alias"
"108168579","LOC108168579","alias"
"19657","RBM","alias"
"19657","Rbm1","alias"
"19657","Rbm1-rs1","alias"
"19657","Rbmy1a1","alias"
"19657","Rbmy1a1-rs1","alias"
"19657","Rbmy1b","alias"
"381334","GP3ST","alias"
"381334","Gm988","alias"
"633057","EG633057","alias"
"632793","Gm11301","alias"
"382265","EG382265","alias"
"382265","Gm5167","alias"
"435791","Ifnz","alias"
"258731","MOR204-11","alias"
"434117","EG434117","alias"
"546205","EG546205","alias"
"668963","Gm10921","alias"
"258871","MOR170-3","alias"
"113857","V1ra12","alias"
"113857","V1rb9","alias"
"668958","Gm14346","alias"
"258035","MOR183-5P","alias"
"108168669","LOC108168669","alias"
"637021","EG637021","alias"
"637021","Gm7196","alias"
"637021","Vmn2r-ps113","alias"
"100040448","Gm2777","alias"
"668359","EG668359","alias"
"627264","Gm14347","alias"
"494519","Abpbg20","alias"
"494519","Abpd","alias"
"494519","C2c","alias"
"494519","Scgb2b2","alias"
"620574","EG620574","alias"
"620574","Vmn1r96","alias"
"108168554","LOC108168554","alias"
"219019","GA_x6K02T2PMLR-6243196-6244132","alias"
"219019","MOR106-14","alias"
"219019","MOR106-8P","alias"
"219019","Olfr264","alias"
"219019","Olfr264-ps1","alias"
"219019","Olfr265","alias"
"219019","Olfr265-ps1","alias"
"219019","Olfr743-ps1","alias"
"100043569","EG667283","alias"
"100043569","Gm16444","alias"
"258953","MOR136-1","alias"
"258823","MOR171-7","alias"
"670764","Gm9500","alias"
"100043596","Gm4542","alias"
"113865","V1rc8","alias"
"258648","MOR261-4","alias"
"258648","Olfr438","alias"
"258488","MOR204-20","alias"
"108169097","LOC108169097","alias"
"546944","EG546944","alias"
"546944","Gm5999","alias"
"638251","EG638251","alias"
"638251","Gm7231","alias"
"381884","Gm1084","alias"
"638262","EG638262","alias"
"258424","MOR223-5","alias"
"545985","EG545985","alias"
"545985","MOR15-3","alias"
"545985","Olfr612-ps1","alias"
"623197","Gm11236","alias"
"434113","EG434113","alias"
"207213","2cpoz56","alias"
"207213","Mapp2","alias"
"207213","Spopl1","alias"
"18372","GA_x5J8B7TNKDU-1250-1574","alias"
"18372","MOR139-5P","alias"
"171244","V1rg9","alias"
"259124","MOR5-1","alias"
"93706","PC43","alias"
"93706","Pcdh2","alias"
"331529","4930481M05","alias"
"331529","EG331529","alias"
"100862261","Gm21598","alias"
"258607","MOR171-13","alias"
"208715","B130032C06Rik","alias"
"26904","EAT-2","alias"
"26904","EAT-2A","alias"
"26904","Eat2","alias"
"26904","Eat2a","alias"
"26904","Sh2d1b","alias"
"546282","EG546282","alias"
"67952","1810060K07Rik","alias"
"67952","BB284719","alias"
"67952","Gm19268","alias"
"67952","MAS20","alias"
"67952","MOM19","alias"
"67952","TOM20","alias"
"67952","mKIAA0016","alias"
"258333","MOR170-11","alias"
"108168511","LOC108168511","alias"
"621561","Gm6239","alias"
"258915","MOR103-9","alias"
"100043043","Vmn1r146","alias"
"258934","MOR111-1","alias"
"242235","Gm421","alias"
"435947","EG435947","alias"
"435947","Gm5727","alias"
"258406","MOR240-3","alias"
"107626","Hiomt","alias"
"258397","MOR245-7","alias"
"258397","Olfr276","alias"
"258397","Olfr276-ps1","alias"
"554292","Mettl7a2-Higd1c","alias"
"554292","Mettl7a2Higd1c","alias"
"554292","Mettl7a2higd1c","alias"
"554292","UbiE-YGHL1","alias"
"113858","V1rc1","alias"
"15077","BE691662","alias"
"15077","H3-615","alias"
"15077","H3f2","alias"
"15077","Hist2h3ca1","alias"
"171184","V1rc11","alias"
"546903","EG546903","alias"
"546903","Gm5993","alias"
"434016","EG434016","alias"
"434016","Gm5568","alias"
"434016","V1rc31","alias"
"113864","V1rc7","alias"
"434017","EG434017","alias"
"434017","Gm5569","alias"
"67945","1810055P16Rik","alias"
"67945","2210411K19Rik","alias"
"66892","1300018P11Rik","alias"
"66892","AI451927","alias"
"66892","eIF4E-3","alias"
"102637705","Gm20654","alias"
"380975","Gm921","alias"
"380975","HIG1-4","alias"
"380975","Yghl1-4","alias"
"100042450","Gm16532","alias"
"171202","V1rc29","alias"
"231798","2810008P14Rik","alias"
"231798","2900069C24Rik","alias"
"231798","AI558103","alias"
"231798","LRN","alias"
"231798","LRRN4","alias"
"231798","SAP25","alias"
"231798","mFLJ00248","alias"
"171189","V1rc16","alias"
"626828","EG626828","alias"
"626828","Gm6709","alias"
"66991","2410004A20Rik","alias"
"66991","AI467128","alias"
"66991","FILIA","alias"
"66991","OEEP48","alias"
"69269","3110001I17Rik","alias"
"69269","Scnm1-ps","alias"
"68468","1110003M04Rik","alias"
"68468","AU016360","alias"
"68468","G6c","alias"
"68468","NG24","alias"
"241197","9830131G07","alias"
"241197","BB233602","alias"
"241197","Serpinb10-ps","alias"
"56771","1110011O05Rik","alias"
"56771","2410115I17Rik","alias"
"56771","AU018348","alias"
"56771","Trfp","alias"
"243822","4930401F20Rik","alias"
"11871","ARTC2","alias"
"11871","Art2a","alias"
"11871","Ly92a","alias"
"11871","Rt-6","alias"
"11871","Rt6","alias"
"11871","Rt6-1","alias"
"100126768","Gm20516","alias"
"100126765","Gm20408","alias"
"100126773","Gm20410","alias"
"630294","EG630294","alias"
"630294","H2-t9","alias"
"67685","1700010I24Rik","alias"
"67685","Dnaaf4","alias"
"67685","EKN1","alias"
"67685","b2b811.1Clo","alias"
"67685","b2b811Clo","alias"
"434701","EG434701","alias"
"434701","V2Rp7","alias"
"384220","EG384220","alias"
"637053","AW742767","alias"
"637053","EG637053","alias"
"623734","EG623734","alias"
"634650","EG634650","alias"
"634650","Gm7141","alias"
"100043108","AI098658","alias"
"100043057","Gm540","alias"
